time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1709479873865227300,-0.920772705078125,246.85604116064474,2.292595278404124,4.807577886206782,46.900017579442036,202.26604100805685,191.14610827580776,20.684498753676326,9.13148709469208,16.857607034591155,18.46759033203125
1709479874815228200,0.029228271484375,246.5848228588461,2.2695640329352074,4.680996408267575,46.89986363293748,201.99482270625822,192.36554224433564,18.28753668718933,9.35235064357877,16.8575496784362,18.46759033203125
1709479875764985000,0.978985107421875,246.32059670342193,1.646186980983281,3.6922232457706143,46.89969943216766,201.73059655083404,192.94423345067878,15.822907412814297,8.329896667384617,16.85750153361306,18.46619987487793
1709479876714516200,1.92851611328125,245.90715869171336,1.6598692483019362,3.492572608655058,46.899538085488395,201.31715853912547,193.3577690534217,14.448980651889618,7.156503898253164,16.857457183994832,18.46619987487793
1709479877664355600,2.87835546875,245.81816055440746,1.7184562610528342,3.723895687504637,46.89937415359771,201.22816040181957,191.72600820528717,13.294145297204667,7.142479943236767,16.85741199732612,18.90874481201172
1709479878614203000,3.828202880859375,245.85054946223585,1.5942376957719153,3.024691022341324,46.89920715248951,201.26054930964796,193.24638827387372,12.219247101867678,7.685237599795811,16.857359390752357,19.84308624267578
1709479879564062000,4.77806201171875,245.85301335869553,1.5944732105284232,3.0071458436429874,46.8990328280506,201.26301320610764,192.00951029039084,11.44586596354185,7.8987771765942965,16.857301000736605,20.452072143554688
1709479880513930800,5.7279306640625,245.73062195447457,1.5044504776163798,2.946258260458516,46.89886212378276,201.14062180188668,193.22564534193617,10.678173269029907,7.161944727564173,16.85724086669358,20.063560485839844
1709479881463810600,6.677810546875,245.50298098228876,1.3054305024793083,2.330404429735949,46.89867615802234,200.91298082970087,192.95013157354717,9.821837993555024,7.120708800072183,16.857192858591194,20.452072143554688
1709479882413705500,7.62770556640625,245.50301066413522,1.305430503898258,2.3304044297359527,46.898505834617175,200.91301051154733,192.9500898530997,9.821837993556194,7.120708800070569,16.85713571867983,20.45207214345957
1709479883363600100,8.57760009765625,245.84050401113927,1.5300843344522044,2.450254858154866,46.89832605833972,201.25050385855138,191.80231854675088,9.397994447056941,7.126078500504326,16.857088397966134,20.60548782338905
1709479884313505300,9.52750537109375,246.74683964438736,1.5707077747856286,2.63283038490583,46.89813997764608,202.15683949179947,191.7908355505885,9.093372796804221,7.0980336344739765,16.85703862598118,21.40357208241051
1709479885263413500,10.47741357421875,248.17639199178666,1.443661227858451,2.3946920531358202,46.89795464360823,203.58639183919877,191.2654287274596,8.860025120959929,7.119284739046504,16.856989874900343,21.84426307666633
1709479886213325600,11.42732568359375,249.30365201830864,1.419790341565393,2.284053511882126,46.89777372433088,204.71365186572075,192.28210830032143,8.883100947557692,7.362424731353162,16.85693194657797,21.844263076666337
1709479887163575000,12.377574951171875,250.13371973857284,1.4428958084502288,2.3835662557236597,46.89758342011054,205.54371958598495,192.0265945945962,8.314212413889496,7.058921088263825,16.856876868765873,22.073816299318807
1709479888113504800,13.3275048828125,250.7642280701548,1.4545843059286832,2.4650098227158215,46.89739798246837,206.1742279175669,192.45215828288272,9.753825690115475,13.601943304872451,16.856824225991634,22.073816299318892
1709479889063435800,14.277435791015625,251.2605740679428,1.5117687299930047,2.487283284980652,46.89721176349913,206.6705739153549,192.2589205684043,15.881106301044863,22.613575810328694,16.85676476109944,22.51968765246091
1709479890013370400,15.227370361328125,251.665365755558,1.6263758346837776,2.8390418330281175,46.89702675117309,207.07536560297012,192.56921635537512,10.334908539442129,14.933454009495302,16.856703403332297,22.51968765246091
1709479891001305300,16.215305419921876,251.87897457461804,1.5715788347783386,2.9185161593480253,46.89683296149731,207.28897442203015,192.27699319369523,9.80144350607116,14.362602183234268,16.85663958814342,22.519687652450546
1709479892001245000,17.215244873046874,251.92288395483047,1.377101060057258,2.4669044751388687,46.89662969535816,207.33288380224258,192.88729095696846,10.454438857254289,15.209241102692879,16.85656904855463,22.583311080790725
1709479893001187300,18.215187255859377,252.03464819677174,1.3560078638544737,2.4978329772718246,46.89642174470577,207.44464804418385,192.6187454115939,7.34008326865022,10.900444860665853,16.856501962256225,22.791604995581686
1709479894001134600,19.215134521484377,252.1014902992174,1.3478266070995224,2.415206846343993,46.89621261119163,207.5114901466295,191.46322740287223,7.215335619184034,10.95514842356606,16.856446020071278,23.146833419647013
1709479895001083400,20.21508349609375,251.79858302138746,1.3649038887787306,2.351000735599934,46.8960089144732,207.20858286879957,192.69798546841506,9.978568784339444,15.346221241965527,16.856367930743954,23.2172546385177
1709479896001037000,21.215037109375,251.58762416802347,1.3387451196923263,2.4505401907771187,46.89580238312821,206.99762401543558,192.36700185662403,9.319810738735447,14.607852720587886,16.856302696257625,23.14683341964702
1709479897000993300,22.2149931640625,251.53310867026448,1.397411771313801,2.478910562823419,46.895597996422325,206.9431085176766,192.5383569348066,8.306786910319405,13.166308565215218,16.85623624700059,23.033744811861162
1709479898000950800,23.21495068359375,251.38620645552874,1.3455476715314854,2.51605084951372,46.895394642674624,206.79620630294085,191.23865956183516,9.884247458061093,15.826120298048641,16.856180109084647,22.836870193334715
1709479899000912600,24.21491259765625,251.56122504454106,1.3755683445064149,2.4577971876829174,46.89518984778311,206.97122489195317,192.59126968123792,6.807729305266953,10.905991227327476,16.85610963182633,23.178714752043852
